MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2014-03-31,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2014-04-07,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,3.0,60.0
2014-04-21,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,3.0,33.33333333333333
2014-04-28,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,3.0,50.0
2014-05-09,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,3.0,60.0
2014-05-19,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,2.0,66.66666666666666
2014-06-09,GUATEMALA,T,KBFI,KIWA,26,1,0.0,0.0,18.0,69.23076923076923
2014-06-16,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,4.0,57.14285714285714
2014-06-23,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,1.0,33.33333333333333
2014-07-14,GUATEMALA,T,KBFI,KIWA,19,1,0.0,0.0,17.0,89.47368421052632
2014-07-21,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,1.0,33.33333333333333
2014-07-28,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2014-08-04,GUATEMALA,T,KBFI,KIWA,11,1,1.0,0.09090909090909091,9.0,81.81818181818183
2014-08-11,GUATEMALA,T,KBFI,KIWA,19,1,0.0,0.0,9.0,47.368421052631575
2014-08-25,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,5.0,100.0
2014-09-01,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,7.0,70.0
2014-09-15,GUATEMALA,T,KBFI,KIWA,18,1,0.0,0.0,16.0,88.88888888888889
2014-09-22,GUATEMALA,T,KBFI,KIWA,27,1,0.0,0.0,23.0,85.18518518518519
2014-10-06,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,11.0,73.33333333333333
2014-11-10,GUATEMALA,T,KBFI,KIWA,12,1,0.0,0.0,6.0,50.0
2014-11-24,GUATEMALA,T,KBFI,KIWA,16,1,0.0,0.0,8.0,50.0
2014-12-08,GUATEMALA,T,KBFI,KIWA,17,1,0.0,0.0,6.0,35.294117647058826
2015-01-05,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,4.0,57.14285714285714
2015-01-12,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2015-02-16,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,2.0,28.57142857142857
