,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
LHBP,"{'AirportName': 'Budapest Liszt Ferenc international Airport', 'LatitudeDecimalDegrees': 47.437, 'LongitudeDecimalDegrees': 19.256}",0.11,0.08,,,100.0,7,0.0,5,7,0,0,7,0
LIRA,"{'AirportName': 'Ciampino Airport', 'LatitudeDecimalDegrees': 41.799, 'LongitudeDecimalDegrees': 12.595}",0.45,0.18,,,100.0,5,0.0,2,5,0,0,5,0
LKPR,"{'AirportName': 'Ruzyn-¢ International Airport', 'LatitudeDecimalDegrees': 50.101000000000006, 'LongitudeDecimalDegrees': 14.26}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
LLBG,"{'AirportName': 'Ben Gurion International Airport', 'LatitudeDecimalDegrees': 32.009, 'LongitudeDecimalDegrees': 34.876999999999995}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
LPPD,"{'AirportName': 'João\xa0Paulo II Airport', 'LatitudeDecimalDegrees': 37.741, 'LongitudeDecimalDegrees': -25.698}",0.38,0.25,,,100.0,3,0.0,2,3,0,0,3,0
LQSA,"{'AirportName': 'Sarajevo International Airport', 'LatitudeDecimalDegrees': 43.824, 'LongitudeDecimalDegrees': 18.331}",0.91,0.27,,,100.0,10,0.0,3,10,0,0,10,0
LRBS,"{'AirportName': 'Bâneasa International Airport', 'LatitudeDecimalDegrees': 44.503, 'LongitudeDecimalDegrees': 26.102}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
LROP,"{'AirportName': 'Henri Coandâ International Airport', 'LatitudeDecimalDegrees': 44.574, 'LongitudeDecimalDegrees': 26.103}",0.07,0.04,,,100.0,3,0.0,2,3,0,0,3,0
LTBA,"{'AirportName': 'Atatürk International Airport\xa0', 'LatitudeDecimalDegrees': 40.977, 'LongitudeDecimalDegrees': 28.821}",4.0,1.0,,,100.0,4,0.0,1,4,0,0,4,0
LUKK,"{'AirportName': 'Chisinau International Airport', 'LatitudeDecimalDegrees': 46.928, 'LongitudeDecimalDegrees': 28.931}",0.07,0.04,,,100.0,5,0.0,3,5,0,0,5,0
LWSK,"{'AirportName': 'Skopje Alexander the Great Airport', 'LatitudeDecimalDegrees': 41.96100000000001, 'LongitudeDecimalDegrees': 21.621}",5.0,1.0,,,100.0,5,0.0,1,5,0,0,5,0
