,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
93,2010-12-21,GUATEMALA,R,KIWA,MGGT,103,1,1.0,0.009708737864077669,65.0,63.10679611650486
94,2010-12-21,GUATEMALA,R,KSAT,MGGT,63,1,1.0,0.015873015873015872,46.0,73.01587301587301
95,2010-12-22,GUATEMALA,R,KCSG,MGGT,59,1,0.0,0.0,3.0,5.084745762711865
96,2010-12-22,GUATEMALA,R,KIAH,MGGT,21,1,5.0,0.23809523809523808,7.0,33.33333333333333
97,2010-12-23,GUATEMALA,R,KAEX,MGGT,108,1,0.0,0.0,45.0,41.66666666666667
98,2010-12-23,GUATEMALA,R,KIWA,MGGT,37,1,0.0,0.0,28.0,75.67567567567568
99,2010-12-28,GUATEMALA,R,KIWA,MGGT,130,1,7.0,0.05384615384615385,110.0,84.61538461538461
100,2010-12-28,GUATEMALA,R,KSAT,MGGT,78,1,0.0,0.0,63.0,80.76923076923077
101,2010-12-29,GUATEMALA,R,KMIA,MGGT,60,1,0.0,0.0,41.0,68.33333333333333
102,2010-12-30,GUATEMALA,R,KAEX,MGGT,97,1,0.0,0.0,49.0,50.51546391752577
103,2010-12-30,GUATEMALA,R,KIWA,MGGT,79,1,0.0,0.0,70.0,88.60759493670885
104,2011-01-05,GUATEMALA,R,KCSG,MGGT,52,1,1.0,0.019230769230769232,4.0,7.6923076923076925
105,2011-01-06,GUATEMALA,R,KAEX,MGGT,114,1,0.0,0.0,36.0,31.57894736842105
106,2011-01-06,GUATEMALA,R,KMIA,MGGT,17,1,0.0,0.0,8.0,47.05882352941176
107,2011-01-07,GUATEMALA,R,KHRL,MGGT,42,1,1.0,0.023809523809523808,40.0,95.23809523809523
108,2011-01-07,GUATEMALA,R,KIWA,MGGT,122,1,1.0,0.00819672131147541,84.0,68.85245901639344
109,2011-01-07,GUATEMALA,R,KSAT,MGGT,81,1,2.0,0.024691358024691357,73.0,90.12345679012346
110,2011-01-11,GUATEMALA,R,KIWA,MGGT,110,1,1.0,0.00909090909090909,50.0,45.45454545454545
111,2011-01-12,GUATEMALA,R,KMIA,MGGT,119,1,0.0,0.0,47.0,39.49579831932773
112,2011-01-13,GUATEMALA,R,KAEX,MGGT,95,1,0.0,0.0,40.0,42.10526315789473
113,2011-01-14,GUATEMALA,R,KHRL,MGGT,45,1,0.0,0.0,45.0,100.0
114,2011-01-14,GUATEMALA,R,KIWA,MGGT,59,1,3.0,0.05084745762711865,43.0,72.88135593220339
115,2011-01-14,GUATEMALA,R,KSAT,MGGT,70,1,1.0,0.014285714285714285,54.0,77.14285714285715
116,2011-01-19,GUATEMALA,R,KCSG,MGGT,55,1,0.0,0.0,9.0,16.363636363636363
117,2011-01-19,GUATEMALA,R,KMIA,MGGT,29,1,0.0,0.0,23.0,79.3103448275862
118,2011-01-20,GUATEMALA,R,KAEX,MGGT,106,1,0.0,0.0,44.0,41.509433962264154
119,2011-01-20,GUATEMALA,R,KIWA,MGGT,60,1,0.0,0.0,30.0,50.0
