MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2015-08-17,MEXICO,T,KBRO,KBFI,8,1,0.0,0.0,1.0,12.5
2015-08-24,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,0.0,0.0
2015-09-09,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,1.0,33.33333333333333
2015-09-15,MEXICO,T,KSAT,KBFI,2,1,0.0,0.0,0.0,0.0
2015-09-27,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,0.0,0.0
2015-10-12,MEXICO,T,KIWA,KBFI,24,1,0.0,0.0,15.0,62.5
2015-10-26,MEXICO,T,KIWA,KBFI,8,1,0.0,0.0,3.0,37.5
2015-11-09,MEXICO,T,KSAT,KBFI,5,1,0.0,0.0,0.0,0.0
2015-11-17,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,17.0,80.95238095238095
2015-11-23,MEXICO,T,KSAT,KBFI,2,1,0.0,0.0,0.0,0.0
2015-12-07,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2015-12-22,MEXICO,T,KIWA,KBFI,23,1,0.0,0.0,20.0,86.95652173913044
2016-01-05,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2016-01-12,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,0.0,0.0
2016-01-19,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2016-01-26,MEXICO,T,KIWA,KBFI,22,1,0.0,0.0,18.0,81.81818181818183
2016-02-09,MEXICO,T,KIWA,KBFI,12,1,0.0,0.0,10.0,83.33333333333334
2016-02-16,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,4.0,66.66666666666666
2016-02-23,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,1.0,10.0
2016-03-01,MEXICO,T,KSAT,KBFI,6,1,0.0,0.0,6.0,100.0
2016-03-08,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,8.0,80.0
2016-03-22,MEXICO,T,KIWA,KBFI,11,1,0.0,0.0,10.0,90.9090909090909
2016-03-29,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2016-04-12,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,3.0,100.0
2016-04-19,MEXICO,T,KIWA,KBFI,7,1,0.0,0.0,7.0,100.0
2016-04-26,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,5.0,100.0
2016-05-03,MEXICO,T,KIWA,KBFI,17,1,0.0,0.0,16.0,94.11764705882352
2016-05-10,MEXICO,T,KBRO,KBFI,8,1,0.0,0.0,8.0,100.0
2016-05-24,MEXICO,T,KIWA,KBFI,15,1,0.0,0.0,11.0,73.33333333333333
2016-05-31,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2016-06-07,MEXICO,T,KIWA,KBFI,11,1,0.0,0.0,4.0,36.36363636363637
2016-06-14,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,4.0,80.0
2016-06-28,MEXICO,T,KSAT,KBFI,3,1,0.0,0.0,2.0,66.66666666666666
2016-07-05,MEXICO,T,KIWA,KBFI,8,1,0.0,0.0,1.0,12.5
2016-07-12,MEXICO,T,KIWA,KBFI,25,1,0.0,0.0,24.0,96.0
2016-07-26,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2016-08-02,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,2.0,66.66666666666666
2016-08-11,MEXICO,T,KBRO,KBFI,5,1,0.0,0.0,4.0,80.0
2016-08-16,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2016-08-23,MEXICO,T,KIWA,KBFI,16,1,0.0,0.0,16.0,100.0
2016-09-08,MEXICO,T,KBRO,KBFI,6,1,0.0,0.0,6.0,100.0
