ICAOCode, AirportName,Altitude,City,Country,IATACode,LatitudeDecimalDegrees,LatitudeDegrees,LatitudeDirection,LatitudeMinutes,LatitudeSeconds,LongitudeDecimalDegrees,LongitudeDegrees,LongitudeDirection,LongitudeMinutes,LongitudeSeconds
CYKL,SCHEFFERVILLE,521.0,SCHEFFERVILLE,CANADA,YKL,54.805,54.0,N,48.0,18.0,-66.805,66.0,W,48.0,19.0
CYKY,KINDERSLEY,695.0,KINDERSLEY,CANADA,YKY,51.516999999999996,51.0,N,31.0,3.0,-109.181,109.0,W,10.0,51.0
CYKZ,BUTTONVILLE MUNI,199.0,TORONTO,CANADA,YKZ,43.861999999999995,43.0,N,51.0,44.0,-79.37,79.0,W,22.0,12.0
CYLA,,0.0,LANGARA,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYLC,,0.0,LAKE HARBOUR,CANADA,YLC,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYLD,CHAPLEAU,447.0,CHAPLEAU,CANADA,YLD,47.82,47.0,N,49.0,12.0,-83.346,83.0,W,20.0,47.0
CYLJ,MEADOW LAKE,481.0,MEADOW LAKE,CANADA,YLJ,54.125,54.0,N,7.0,31.0,-108.523,108.0,W,31.0,22.0
CYLL,LLOYDMINSTER,669.0,LLOYDMINSTER,CANADA,YLL,53.309,53.0,N,18.0,33.0,-110.072,110.0,W,4.0,21.0
CYLO,,0.0,SHILO,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYLT,ALERT,31.0,ALERT,CANADA,YLT,82.51799999999999,82.0,N,31.0,4.0,-62.281000000000006,62.0,W,16.0,50.0
CYLW,KELOWNA,430.0,KELOWNA,CANADA,YLW,49.956,49.0,N,57.0,22.0,-119.37799999999999,119.0,W,22.0,40.0
CYLY,,0.0,LYTTON,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYMA,MAYO,504.0,MAYO,CANADA,YMA,63.617,63.0,N,37.0,0.0,-135.86700000000002,135.0,W,52.0,0.0
CYMD,,0.0,MOULD BAY,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYMJ,MOOSE JAW,577.0,MOOSE JAW,CANADA,YMJ,50.33,50.0,N,19.0,49.0,-105.559,105.0,W,33.0,33.0
CYMM,FORT MCMURRAY,370.0,FORT MCMURRAY,CANADA,YMM,56.653,56.0,N,39.0,12.0,-111.22200000000001,111.0,W,13.0,19.0
CYMO,MOOSONEE,10.0,MOOSONEE,CANADA,YMO,51.291000000000004,51.0,N,17.0,28.0,-80.608,80.0,W,36.0,28.0
CYMR,,0.0,MERRY ISLAND,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYMW,MANIWAKI,201.0,MANIWAKI,CANADA,YMW,46.273999999999994,46.0,N,16.0,28.0,-75.99,75.0,W,59.0,24.0
CYMX,MONTREAL INTERNATIONAL MIRABEL,83.0,MONTREAL,CANADA,YMX,45.68,45.0,N,40.0,47.0,-74.039,74.0,W,2.0,19.0
CYNA,NATASHQUAN,11.0,NATASHQUAN,CANADA,YNA,50.19,50.0,N,11.0,23.0,-61.788999999999994,61.0,W,47.0,21.0
CYND,GATINEAU,65.0,GATINEAU,CANADA,YND,45.521,45.0,N,31.0,17.0,-75.564,75.0,W,33.0,51.0
CYNI,,0.0,NITCHEQUON,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYNM,MATAGAMI,280.0,MATAGAMI,CANADA,YNM,49.762,49.0,N,45.0,42.0,-77.803,77.0,W,48.0,10.0
CYNY,,0.0,ENDERBY,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
CYO,,0.0,WYNYARD,CANADA,,0.0,0.0,U,0.0,0.0,0.0,0.0,U,0.0,0.0
